index,brand,product,name,specific,lightness,hex,lightToDark,numbers,id
2961,HUDA BEAUTY,#FauxFilter Skin Finish Buildable Coverage Foundation Stick,,500G,0.509803921568627,#AC7E58,True,500.0,100.0
2962,HUDA BEAUTY,#FauxFilter Full Coverage Matte Foundation,Mocha,500G,0.441176470588235,#9E6A43,True,500.0,101.0
2963,Origins,Pretty in Bloom™ SPF 20 Flower-Infused Long-Wear Foundation,,500,0.631372549019608,#C89A7A,True,500.0,102.0
2964,MAKE UP FOR EVER,Reboot Active Care Revitalizing Foundation,,Y503,0.511764705882353,#B37A52,True,503.0,125.0
2965,MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,,Y503,0.507843137254902,#A5835E,True,503.0,123.0
2966,MAKE UP FOR EVER,Reboot Active Care Revitalizing Foundation,,Y505,0.513725490196078,#AE7B58,True,505.0,125.0
2967,MAKE UP FOR EVER,Matte Velvet Skin Blurring Powder Foundation,,Y505Cognac,0.63921568627451,#CF9577,True,505.0,126.0
2968,MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,,Y505,0.496078431372549,#A0805D,True,505.0,123.0
2969,MAKE UP FOR EVER,Ultra HD Invisible Cover Stick Foundation,,Y505,0.462745098039216,#A36A49,True,505.0,124.0
2970,MAKE UP FOR EVER,Water Blend Face & Body Foundation,,Y505,0.498039215686275,#A1745D,True,505.0,129.0
2971,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,,Y508,0.484313725490196,#9A775D,True,508.0,122.0
2972,Anastasia Beverly Hills,Luminous Foundation,,510W,0.225490196078431,#533020,True,510.0,91.0
2973,Lancôme,Teint Idole Ultra Wear 24H Long Wear Foundation,Suede C,510,0.46078431372549,#A67445,True,510.0,88.0
2974,Juvia's Place,I Am Magic Foundation,Aruba,510,0.607843137254902,#DC9D5A,False,510.0,93.0
2975,CoverGirl,Clean Fresh Skin Milk Foundation,Porcelain,510,0.903921568627451,#F6E4D7,True,510.0,130.0
